,sma_5,ema_5,sma_10,ema_10,sma_20,ema_20,sma_50,ema_50,rsi_7,rsi_14,rsi_21,macd,macds,macdh,return_1d,momentum_1d,return_5d,momentum_5d,return_10d,momentum_10d,return_20d,momentum_20d,return_60d,momentum_60d,return_120d,momentum_120d,roc_10d,roc_20d,volatility_10d,realized_vol_10d,volatility_20d,realized_vol_20d,volatility_60d,realized_vol_60d,atr_14,atr_20,sharpe_ratio_20d,sharpe_ratio_60d,sortino_ratio_20d,sortino_ratio_60d,calmar_ratio_20d,calmar_ratio_60d,trend_strength,momentum_factor,bb_lower,bb_middle,bb_upper,bb_width,bb_pct,adx_14,plus_di,minus_di,stoch_k,stoch_d,score
FORM,114.452001953125,116.04901720941487,106.26600189208985,110.03863957175173,101.6145004272461,104.12875275716517,94.71140014648438,94.13867751375201,50.0,74.32974175731422,69.97252521841122,6.658870985902652,4.301916282535149,2.356954703367503,2.2548966414594807,2.2548966414594807,20.00775364185985,20.00775364185985,23.368216177585843,23.368216177585843,40.04524990366163,40.04524990366163,70.6409343131768,70.6409343131768,195.46539031817125,195.46539031817125,23.36821617758585,40.045249903661635,78.36280284937453,252.62157858013356,73.12147798138113,335.83154939617623,74.70404308041724,575.1524458869033,6.758821453881871,6.700310050458198,6.194627293407932,3.3781284665701397,13.047544312692354,6.754397327754175,29.382611938532744,12.827686962085009,100.0,98.90956579182057,81.90745016193888,101.6145004272461,121.32155069255332,0.38787870200507574,1.0628823777744056,26.850886056799396,47.15849054131779,12.463130428047776,95.80704761970522,89.62011277902697,3.338659586083355
COHR,276.356005859375,281.9343620627553,258.90800323486326,269.79237486288184,257.7065010070801,261.2354748559414,247.2920001220703,244.36227707336448,93.76025949771466,65.89179250134322,61.733818921359735,9.371580098048014,4.741055759653477,4.630524338394537,8.209869257791524,8.209869257791524,19.11217680430035,19.11217680430035,26.392374732137025,26.392374732137025,27.450571788752896,27.450571788752896,61.81655632021248,61.81655632021248,165.17764955827343,165.17764955827343,26.392374732137025,27.450571788752892,94.46494449491412,305.5615712255917,92.32211156063343,413.90972256693266,85.12720608542904,657.0775649004128,24.391249964589736,23.81512576781308,3.7741521924989163,2.7999239229530075,6.350492681043046,5.291442440252201,15.998166082567174,8.988783896630157,100.0,82.5150889321929,218.34860083278437,257.7065010070801,297.0644011813758,0.30544747626071267,1.132573114576875,23.068915019677107,33.76799858147088,13.469843722639773,90.68634277866413,80.1277911882426,3.0071770925342274
KLAC,1645.1580078125,1661.3736692474486,1556.0669921875,1600.197138018904,1523.200994873047,1548.348511833621,1483.5661962890624,1485.7204986799354,98.89245761653959,69.49969783191155,67.40787208762914,53.31056435856431,25.749285434362797,27.56127892420151,0.5801106651342813,0.5801106651342813,14.532849110245305,14.532849110245305,19.719117064027003,19.719117064027003,23.248940846856602,23.248940846856602,20.492162268129512,20.492162268129512,58.10702148672924,58.10702148672924,19.719117064026996,23.2489408468566,56.22914762656785,188.291894228488,50.41851822509111,230.05819823218357,60.48256252193865,474.70198344464524,67.8278141591625,68.61466974746426,5.488710531960249,1.6012796019286275,10.962176022934067,2.4270730180716598,23.60524647786632,4.322321408937392,100.0,32.60365360732756,1334.3686708998384,1523.200994873047,1712.0333188462555,0.24794143991344622,1.0668495465167327,29.273940776645922,44.37094264680863,16.84037590733655,95.86270600403687,91.54585107474156,2.682905812221921
KEYS,311.79599609375,313.6473495668947,297.0899963378906,304.1225109049125,291.8794967651367,294.8885228929117,271.9821984863281,273.6125319111725,50.0,72.21640717946721,64.34938530434653,11.28873955452832,8.272309185272288,3.0164303692560317,0.38396922803021205,0.38396922803021205,11.310260797254458,11.310260797254458,15.337810591022771,15.337810591022771,14.640354365655162,14.640354365655162,54.88771521690554,54.88771521690554,99.60592658456615,99.60592658456615,15.337810591022771,14.640354365655151,42.81387691334951,145.56964412741064,45.49449861995728,203.3070728546424,59.645133950665254,440.11389471776,11.752966095207414,12.051056677738028,4.012303627481316,3.362721779151632,7.894537093481187,9.242438497441997,15.999891440046046,14.325713599701375,100.0,56.22897037182861,262.17266094331836,291.8794967651367,321.58633258695505,0.20355548197838783,1.0436542636917472,26.954503707564054,34.60069237348534,13.021323937715312,96.76108803460157,93.75584443463595,2.3472617917284375
AMKR,52.03399887084961,53.16927653021221,48.408999633789065,50.47559849288396,47.515499877929685,48.551524902397965,47.424599990844726,47.085942485050914,50.0,70.13589656086707,66.7142898403876,1.774851165923124,0.4673199783587341,1.30753118756439,5.1142541277459985,5.1142541277459985,24.1113450483474,24.1113450483474,28.40053138716727,28.40053138716727,40.44099452770731,40.44099452770731,11.56881276856625,11.56881276856625,83.99999709356398,83.99999709356398,28.40053138716727,40.4409945277073,81.2069357609179,270.4260654777582,80.62649249860266,370.34292413940875,75.72610785154407,580.2100526079843,3.481206487042381,3.396847184671798,5.7358109343615995,0.9784751826216187,10.673318171761553,1.74849440662476,25.797068346123908,2.7895303476867097,100.0,41.959822593807885,39.529815044792535,47.515499877929685,55.501184711066834,0.33612967783787934,1.153951378296499,26.21251295970682,47.57546462162348,17.824927896975172,95.08893233572756,83.97320553070757,2.323167043438719
LRCX,242.7820037841797,247.1908614578931,227.93600158691407,236.91758247314874,227.08550033569335,230.37844450700248,228.1963998413086,222.69442289753562,93.75219976040971,64.67653611515476,63.71486758894093,6.0215920860104575,1.1667008629488806,4.854891223061577,1.8936441921310054,1.8936441921310054,20.701337078968773,20.701337078968773,24.591253069495632,24.591253069495632,25.85803463101868,25.85803463101868,22.987217864014433,22.987217864014433,85.1935187924153,85.1935187924153,24.59125306949563,25.85803463101869,69.17481578148829,231.187358396754,67.45738889935015,305.16097209643164,62.448526552532634,482.75202679638846,12.71015880616849,12.635647850235593,4.642031050855822,1.702288461917488,8.313565419748496,2.9135557360652466,19.22132633374304,5.288350053014308,100.0,42.510353172635966,195.22111909121247,227.08550033569335,258.94988158017424,0.2806377439103489,1.0739088897693716,32.401711097586656,48.69362865878448,14.832162178453464,95.90079154457887,83.17748355321537,2.1709306345827275
AMAT,377.9899963378906,382.53441886626194,359.42999877929685,370.2022381052242,357.0939971923828,361.3990489134984,351.06619934082033,345.5820626683116,92.2030572062112,63.70212643501447,62.43451336754897,9.155631195084368,3.8921968701863783,5.26343432489799,0.4223103205277745,0.4223103205277745,14.641142375225137,14.641142375225137,18.000296747513843,18.000296747513843,18.448128575762766,18.448128575762766,31.036178250607115,31.036178250607115,75.43034783633024,75.43034783633024,18.00029674751384,18.44812857576276,59.35816624705396,192.82676595133498,55.92112159572798,250.88620697440783,55.486130886057964,430.0510263523723,16.6158632629734,16.72034983920435,4.096922420741901,2.3240277572351973,7.1290741228570855,3.9854517959083924,16.8434827535179,7.090255976370526,100.0,40.57801422387075,317.58276882218024,357.0939971923828,396.60522556258536,0.22129315351619344,1.0365056313203007,29.239087441095368,45.189897196615604,13.18795782505607,94.86121219718568,82.2434165828267,1.9934425384359855
NOK,9.238000106811523,9.235666532897358,8.7260000705719,8.92789951504469,8.517000007629395,8.587147067660226,7.849799995422363,7.975760849645928,92.26189935558875,78.03030480913779,69.21182673894393,0.40300519324822837,0.2942661664881421,0.10873902676008629,-0.9424099559202759,-0.9424099559202759,7.256239971281642,7.256239971281642,14.251211874765968,14.251211874765968,16.216211783172895,16.216211783172895,45.09202554940308,45.09202554940308,66.54930147971474,66.54930147971474,14.251211874765973,16.2162117831729,51.54336101248829,165.5934659600297,46.375976145277875,206.24931329581412,44.78251296329459,351.38495679917895,0.436103218022277,0.4187705516721521,4.314996771655476,3.7213181406590357,10.492134135340166,7.053123862273616,25.086541984165617,9.18347847543161,100.0,42.866464198627526,7.507506170723964,8.517000007629395,9.526493844534826,0.23705385370462426,0.9670657690235691,36.6182930525667,48.53255616430836,13.55563040568419,89.59527654026199,85.2584013655942,1.9224173093526722
ASML,1391.6860107421876,1414.705837053947,1351.2679931640625,1382.8690697440738,1357.71650390625,1370.8367018439353,1392.6010083007814,1352.760340222205,79.27124565242354,64.28964180299599,56.1703398531427,7.704084177214554,-8.408193329710365,16.11227750692492,2.0460579818810665,2.0460579818810665,12.226418409548634,12.226418409548634,11.19067538900902,11.19067538900902,9.37421960680962,9.37421960680962,16.385336454992338,16.385336454992338,44.98769018524615,44.98769018524615,11.190675389009026,9.37421960680963,62.16160073071648,190.29845251178855,53.22114907562754,231.28479604743552,45.74146153543763,350.89552958659203,59.61012855637672,58.758548823111425,2.3750526183431604,1.6184917901752365,5.08766096891489,3.0680508956005346,9.220848740117193,4.146426105897031,50.0,22.862707519613664,1248.84232677263,1357.71650390625,1466.5906810398699,0.1603783659112649,1.05368283170884,31.365114524820694,44.87163321601397,19.921005851289053,94.51374428117869,75.17128266186369,1.8303572966096389
AMD,231.04199829101563,232.54508753176424,218.43799896240233,223.72276734353457,210.44049987792968,215.82907188915095,209.35099975585936,212.39183551718472,50.0,73.71161174309083,66.75834826100471,7.512347261458757,2.9746696747890238,4.537677586669734,3.549693170279733,3.549693170279733,12.66206587868175,12.66206587868175,20.253220860951537,20.253220860951537,23.920292545255293,23.920292545255293,10.892877735647378,10.892877735647378,4.467938197740273,4.467938197740273,20.253220860951526,23.920292545255304,37.99915971214877,146.06539527698476,50.86279445272852,234.7648302722972,64.78058679055503,509.9554968988387,10.372742231002594,10.266336890650518,5.584445803819732,0.9994573475557508,9.906846131103062,1.529467076104425,25.821534451824085,2.4462526885501874,100.0,12.87362031715762,181.1465639283491,210.44049987792968,239.73443582751025,0.27840587687800705,1.0905572652946713,32.702164926881025,51.368944005956465,11.904390953459448,95.21973662610903,91.90724042390798,1.7147965099010547
